GeneID,Phi
YKL166C,35.5
YKL162C,8.25
YKL161C,2.1
YKL159C,18.15
YKL155C,20.3
YKL154W,91.65
YKL152C,6237.450000000001
YKL150W,97.5
YKL149C,17.15
YKL144C,72.75
YKL143W,51.3
YKL140W,68.6
YKL134C,17.05
YKL133C,5.4
YKL132C,1.75
YKL128C,106.15
YKL127W,140.95
YKL124W,14.7
YKL119C,67.9
YKL114C,67.3
YKL113C,59.15
YKL112W,64.35
YKL110C,61.4
YKL107W,1.6
YKL105C,13.55
YKL104C,196.05
YKL100C,102.4
YKL098W,8.850000000000001
YKL096W,368.85
YKL094W,81.30000000000001
YKL093W,0.8
YKL090W,9.5
YKL085W,163.45
YKL082C,52.55
YKL078W,15.2
YKL077W,249.7
YKL075C,22.9
YKL070W,0.5
YKL067W,383.15
YKL065C,245
YKL060C,7171.299999999999
YKL059C,23.15
YKL057C,59.95
YKL056C,2571.9
YKL055C,6.9
YKL051W,37.3
YKL050C,0.6
YKL049C,35.6
YKL048C,10.95
YKL047W,35.8
YKL046C,131.85
YKL043W,29.1
YKL039W,180.75
YKL035W,318.65
YKL033W-A,229.9
YKL033W,12.7
YKL029C,88.75
YKL023W,20.8
YKL018W,49.25
YKL017C,15.2
YKL016C,180.25
YKL014C,53.349999999999994
YKL004W,107.7
YKL001C,65.75
YKR001C,263.04999999999995
YKR004C,14.15
YKR011C,72.2
YKR013W,219.75
YKR014C,189.65
YKR015C,0.5
YKR016W,47.75
YKR017C,10.85
YKR019C,7.65
YKR022C,12.5
YKR023W,15.15
YKR025W,58.6
YKR026C,93.7
YKR034W,1.55
YKR035W-A,89.5
YKR036C,12.85
YKR041W,1.85
YKR044W,13.45
YKR045C,12.5
YKR048C,133.3
YKR051W,16.7
YKR055W,24.3
YKR058W,2
YKR061W,5.15
YKR064W,11.15
YKR067W,55.7
YKR070W,70.9
YKR071C,114.55
YKR075C,10
YKR076W,26.95
YKR080W,89.55
YKR082W,63.150000000000006
YKR084C,79.65
YKR085C,87.5
YKR087C,35.6
YKR095W,39.1
YKR104W,1.15
YLL062C,15.45
YLL061W,19.05
YLL057C,0.8
YLL056C,1.7
YLL054C,8.100000000000001
YLL051C,39.599999999999994
YLL048C,95.3
YLL046C,0.7
YLL042C,4.1
YLL040C,37.5
YLL038C,15.95
YLL033W,10.5
YLL032C,25.35
YLL022C,26.45
YLL021W,43.55
YLL018C,401.9
YLL012W,27.700000000000003
YLL011W,57.4
YLL006W,33.85
YLL005C,0.2
YLR001C,23.55
YLR002C,52.35
YLR006C,12.65
YLR011W,20.1
YLR014C,5.550000000000001
YLR016C,13.3
YLR019W,37.45
YLR021W,49.8
YLR023C,24.200000000000003
YLR024C,16.299999999999997
YLR026C,55.45
YLR028C,168.39999999999998
YLR030W,1.2
YLR031W,1.0499999999999998
YLR032W,12.45
YLR034C,188.8
YLR040C,19.9
YLR045C,31.85
